paper_ref,family,system,variant,walk,model_name,topk,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,makespan_ms,rtos,quotable,quotable_why,fct_logdir,source,note,link_rate_fixed,quoted_by
plateau,glass,glassfb,,,llamaMoE,,32,,256,2166,8.12,,,75.522,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,qplateau_ep32.csv,plateau perturbation; is the q-chaos confined to the timeout regime,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,4267,8.0,100,1500,75.540,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep32_gt_ksweep.csv,buffer sensitivity on the ground-truth cabling; BDP=800000 B at 400 GB/s x 4x500 ns,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,2133,4.0,100,1500,75.542,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep32_gt_ksweep.csv,buffer sensitivity on the ground-truth cabling; BDP=800000 B at 400 GB/s x 4x500 ns,,
plateau,glass,glassfb,,,llamaMoE,,32,,256,2133,8.00,,,75.542,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,qplateau_ep32.csv,plateau perturbation; is the q-chaos confined to the timeout regime,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,1128,4.23,,,83.381,1096,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,qfine_ep32.csv,fine q sensitivity around the cliff row,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,1067,2.0,100,1500,85.365,1499,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep32_gt_ksweep.csv,buffer sensitivity on the ground-truth cabling; BDP=800000 B at 400 GB/s x 4x500 ns,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,1000,3.75,,,88.089,1764,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,qfine_ep32.csv,fine q sensitivity around the cliff row,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,1096,4.11,,,88.421,1431,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,qfine_ep32.csv,fine q sensitivity around the cliff row,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,1064,3.99,,,91.367,1364,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,qfine_ep32.csv,fine q sensitivity around the cliff row,,
cliff,glass,glassfb,,,llamaMoE,,32,,256,1032,3.87,,,92.088,1639,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,qfine_ep32.csv,fine q sensitivity around the cliff row,,
cliff,glass,glassfb,,sk1p2,llamaMoE,,32,8,256,2133,8.00,,,74.814,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk1p2,llamaMoE,,32,8,256,4267,16.00,,,74.867,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk1p2,llamaMoE,,32,8,256,8533,32.00,,,74.867,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,g32,llamaMoE,,32,8,256,2133,8.00,,,77.918,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,collector
cliff,glass,glassfb,,g32,llamaMoE,,32,8,256,4267,16.00,,,77.957,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g32,llamaMoE,,32,8,256,8533,32.00,,,77.957,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,sk1p2,llamaMoE,,32,8,256,1066,4.00,,,78.374,296,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,g32,llamaMoE,,32,8,256,1066,4.00,,,81.360,360,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,sk2p0,llamaMoE,,32,8,256,2133,8.00,,,81.419,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk2p0,llamaMoE,,32,8,256,4267,16.00,,,81.419,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk2p0,llamaMoE,,32,8,256,8533,32.00,,,81.419,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk2p0,llamaMoE,,32,8,256,1066,4.00,,,84.992,413,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,x2_port_dim1,llamaMoE,,32,8,256,1064,3.99,,,87.358,362,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,sk2p0,llamaMoE,,32,8,256,533,2.00,,,88.951,2509,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,,llamaMoE,2,32,8,256,1064,4.0,100,1500,91.367,1364,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_ep32_gt.csv,map from GLASS_LOG_FLOWS 36/36 pairs direct,,
cliff,glass,glassfb,,,llamaMoE,2,32,8,256,1064,8.0,100,1500,92.323,2047,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),clean,cliff_portmap.csv,port-map cabling; placement+dim-route ON,,
cliff,glass,glassfb,,g32,llamaMoE,,32,8,256,266,1.00,,,97.087,8688,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,sk1p2,llamaMoE,,32,8,256,533,2.00,,,99.445,2751,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=1; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,x2_port_dim0,llamaMoE,,32,8,256,1064,3.99,,,112.376,413,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung (glass); dim_a2a=0; portmap=ep32_gt.txt; hier=0,yes,collector
cliff,glass,glassfb,,g32,llamaMoE,,32,8,256,533,2.00,,,113.593,3022,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
